District,Gas Stove -Yes,Refrigerator/Freezer,Clothes washer,Car/van/autombile,Motorcycle,Cellular Phone,No Cable/satellite Tv,Average Age
 Bambas,47.0,47.0,1.0,1.0,5.0,97.0,130.0,31.8044943820225
 Barranca,9329.0,9329.0,3553.0,890.5,1326.5,9093.0,4152.5,28.1857017464526
 Barranco,10393.0,10393.0,8809.0,4301.0,621.0,10813.0,3786.0,39.70446215603
 Barranquita,883.0,883.0,28.0,10.0,175.0,978.0,1212.0,27.9614247939026
 Baños,199.0,199.0,12.0,9.0,33.0,361.0,605.0,32.8287321063395
 Bella Unión,807.0,807.0,118.0,89.0,318.0,875.0,572.0,32.4985808893094
 Bellavista,8301.75,8301.75,4702.75,1617.75,1425.5,8418.5,4089.25,32.59839447522945
 Bellavista de la Unión,941.0,941.0,81.0,43.0,283.0,1014.0,611.0,29.1021258857857
 Belén,4684.5,4684.5,3348.0,334.0,2353.5,5554.0,4246.5,33.18370336518395
 Bernal,1061.0,1061.0,83.0,60.0,249.0,1502.0,1409.0,28.3953318745441
 Bolognesi,31.0,31.0,11.0,7.0,13.0,164.0,262.0,33.0750507099391
 Bolívar,226.5,226.5,30.5,14.5,61.0,643.5,711.0,34.015124796954446
 Breña,23976.0,23976.0,17926.0,5234.0,1084.0,24006.0,8516.0,37.3462588941378
 Buena Vista Alta,635.0,635.0,36.0,54.0,237.0,1150.0,1134.0,30.8087352515007
 Buenos Aires,1199.0,1199.0,52.5,30.0,217.0,1261.5,1334.5,32.395449873595496
 Buldibuyo,272.0,272.0,20.0,28.0,38.0,577.0,1005.0,29.2793809024134
 Cabana,471.3333333333333,471.3333333333333,20.333333333333332,23.666666666666668,138.33333333333334,844.0,1105.3333333333333,36.21700150013677
 Cabanaconde,521.0,521.0,23.0,15.0,42.0,546.0,724.0,39.5415076335878
 Cabanilla,1237.0,1237.0,8.0,30.0,521.0,1724.0,2267.0,33.7522421524664
 Cabanillas,1273.0,1273.0,25.0,107.0,325.0,1410.0,1728.0,32.4414276330195
 Cacatachi,829.0,829.0,205.0,40.0,438.0,861.0,486.0,31.4583795782464
 Cachachi,873.0,873.0,31.0,58.0,274.0,3911.0,5676.0,27.5296293147424
 Cachicadan,361.0,361.0,29.0,12.0,121.0,934.0,1390.0,29.8014664410603
 Cachimayo,528.0,528.0,129.0,137.0,34.0,577.0,538.0,32.3455079764903
 Cacra,97.0,97.0,,8.0,25.0,132.0,184.0,33.698224852071
 Cahuac,19.0,19.0,,2.0,2.0,128.0,393.0,34.4429065743945
 Cahuacho,104.0,104.0,5.0,9.0,30.0,137.0,214.0,37.6114754098361
 Cahuapanas,55.0,55.0,4.0,,3.0,156.0,1282.0,19.6972853535354
 Caicay,364.0,364.0,22.0,29.0,9.0,464.0,704.0,29.0011045655376
 Cairani,204.0,204.0,,7.0,25.0,306.0,401.0,37.7732793522267
 Caja,142.0,142.0,1.0,13.0,7.0,415.0,668.0,36.042345276873
 Cajabamba,5576.0,5576.0,838.0,345.0,947.0,7418.0,8061.0,30.3884440458651
 Cajacay,74.0,74.0,3.0,3.0,5.0,353.0,580.0,33.1049493142516
 Cajamarca,46283.0,46283.0,14730.0,8461.0,7314.0,52986.0,41828.0,29.8716015744648
 Cajamarquilla,5.0,5.0,,,,86.0,117.0,41.4233333333333
 Cajaruro,3037.0,3037.0,59.0,63.0,706.0,5058.0,6217.0,30.2005283901425
 Cajatambo,350.0,350.0,25.0,11.0,29.0,465.0,605.0,35.9361191162344
 Cajay,132.0,132.0,9.0,14.0,6.0,382.0,737.0,31.9331519626895
 Calamarca,760.0,760.0,2.0,6.0,52.0,933.0,1564.0,30.5741882449651
 Calana,789.0,789.0,128.0,259.0,96.0,973.0,996.0,36.0983551527358
 Calango,602.0,602.0,96.0,102.0,244.0,581.0,412.0,35.9722344645218
 Calapuja,302.0,302.0,2.0,14.0,93.0,460.0,570.0,33.0687697160883
 Calca,4342.0,4342.0,867.0,468.0,658.0,4792.0,5286.0,29.4826449486135
 Caleta de Carquin,1460.0,1460.0,577.0,125.0,89.0,1295.0,471.0,32.8584604033448
 Callahuanca,186.0,186.0,30.0,15.0,13.0,193.0,117.0,37.7142857142857
 Callalli,407.0,407.0,6.0,41.0,124.0,448.0,613.0,38.701646090535
 Callanmarca,53.0,53.0,,4.0,2.0,128.0,208.0,35.9264
 Callao,115257.0,115257.0,78389.0,20461.0,5390.0,108610.0,49128.0,33.5319594025617
 Callayuc,780.0,780.0,11.0,31.0,83.0,1532.0,2720.0,29.9275718406153
 Calleria,32471.0,32471.0,13227.0,2186.0,16782.0,32361.0,22651.0,29.9245661637744
 Calquis,99.0,99.0,2.0,8.0,65.0,1035.0,1292.0,33.7999511480215
 Calzada,971.0,971.0,177.0,41.0,487.0,1124.0,624.0,30.6997179431547
 Camanti,293.0,293.0,55.0,45.0,97.0,442.0,484.0,29.4141505182515
 Camaná,3822.0,3822.0,1789.0,864.0,763.0,3698.0,1615.0,36.4623326101594
 Camilaca,97.0,97.0,3.0,17.0,22.0,308.0,545.0,40.7761324041812
 Caminaca,415.0,415.0,,17.0,237.0,776.0,1119.0,35.0627772091436
 Campanilla,2147.0,2147.0,81.0,48.0,406.0,2097.0,2387.0,26.4863439590712
 Camporredondo,943.0,943.0,51.0,35.0,388.0,1452.0,1638.0,28.0987177506566
 Campoverde,3035.0,3035.0,395.0,162.0,1146.0,3300.0,3252.0,27.8418332399278
 Canaria,528.0,528.0,7.0,10.0,12.0,923.0,1201.0,36.1468443550415
 Canayre,681.0,681.0,14.0,29.0,88.0,800.0,783.0,25.2715909090909
 Canchabamba,26.0,26.0,1.0,2.0,6.0,167.0,732.0,28.6482707873436
 Canchaque,967.0,967.0,80.0,45.0,153.0,1566.0,1990.0,34.8733087330873
 Canchayllo,391.0,391.0,7.0,18.0,39.0,360.0,492.0,31.8644597126796
 Candarave,379.0,379.0,13.0,30.0,155.0,643.0,957.0,37.5395072217502
 Cangallo,1026.0,1026.0,71.0,55.0,53.0,1324.0,1793.0,35.3796313195839
 Canis,25.0,25.0,1.0,,,90.0,110.0,39.9134615384615
 Canoas de Punta Sal,1363.0,1363.0,235.0,158.0,421.0,1438.0,546.0,28.6923926767677
 Canta,579.0,579.0,60.0,59.0,29.0,620.0,443.0,37.9249475890985
 Capachica,1122.0,1122.0,5.0,26.0,152.0,1935.0,3105.0,40.0236074270557
 Capacmarca,567.0,567.0,14.0,10.0,74.0,728.0,1245.0,33.1251939989653
 Capaya,137.0,137.0,5.0,2.0,2.0,99.0,231.0,37.2224137931034
 Capazo,243.0,243.0,1.0,22.0,96.0,184.0,568.0,36.1522123893805
 Capelo,91.0,91.0,2.0,2.0,5.0,256.0,574.0,27.3335931410756
 Capillas,18.0,18.0,,,,87.0,368.0,35.140642303433
 Carabamba,640.0,640.0,5.0,15.0,198.0,1160.0,1891.0,28.4398006751326
 Carabayllo,84308.0,84308.0,39262.0,13568.0,5106.0,80040.0,43375.0,29.7524268492246
 Caracoto,1271.0,1271.0,34.0,100.0,638.0,1783.0,2485.0,33.8763567028454
 Carampoma,79.0,79.0,1.0,7.0,,122.0,115.0,42.3776435045317
 Carania,9.0,9.0,,,1.0,34.0,67.0,40.4135802469136
 Carapo,250.0,250.0,4.0,4.0,17.0,449.0,683.0,37.395399780942
 Caravelí,955.0,955.0,235.0,157.0,240.0,1015.0,622.0,31.2244658370509
 Caraybamba,205.0,205.0,5.0,3.0,2.0,235.0,366.0,36.4682454251884
 Caraz,4511.0,4511.0,1002.0,487.0,795.0,5571.0,4692.0,30.9477785145889
 Carhuacallanga,31.0,31.0,,,,156.0,251.0,42.4881422924901
 Carhuamayo,1712.0,1712.0,54.0,134.0,196.0,1643.0,1729.0,31.9879481771618
 Carhuanca,203.0,203.0,1.0,5.0,6.0,251.0,342.0,40.3174603174603
 Carhuapampa,74.0,74.0,,,,119.0,187.0,41.75
 Carhuaz,2013.0,2013.0,432.0,324.0,224.0,3269.0,3175.0,31.6921703478376
 Carmen Alto,6360.0,6360.0,726.0,733.0,627.0,6946.0,6679.0,26.8039076879513
 Carmen Salcedo,298.0,298.0,7.0,9.0,25.0,492.0,601.0,37.7531231409875
 Carmen de la Legua Reynoso,11074.0,11074.0,7114.0,1612.0,482.0,10376.0,4292.0,34.0955018939394
 Carumas,227.0,227.0,9.0,26.0,51.0,480.0,933.0,40.7434488588335
 Casa Grande,6989.0,6989.0,2860.0,469.0,1497.0,6631.0,1821.0,35.6245612803594
 Casca,14.0,14.0,,1.0,4.0,363.0,1179.0,31.5888767720829
 Cascapara,277.0,277.0,1.0,2.0,1.0,217.0,465.0,30.7138590203106
 Cascas,2710.0,2710.0,288.0,123.0,594.0,3143.0,3303.0,33.5619859428742
 Cashapampa,146.0,146.0,3.0,10.0,26.0,518.0,813.0,31.5618838992333
 Casitas,458.0,458.0,58.0,64.0,373.0,582.0,618.0,36.3876595744681
 Casma,8334.0,8334.0,2351.0,846.0,2031.0,9119.0,5233.0,31.4382496854467
 Caspisapa,407.0,407.0,42.0,15.0,199.0,453.0,248.0,30.3720602069614
 Castilla,36912.0,36912.0,11955.0,5618.0,10252.0,36662.0,26946.0,30.2934313768329
 Castillo Grande,3076.0,3076.0,929.0,230.0,1382.0,3232.0,1810.0,29.5695754716981
 Castrovirreyna,659.0,659.0,14.0,26.0,19.0,722.0,936.0,29.9528849436668
 Catac,658.0,658.0,58.0,71.0,45.0,908.0,934.0,30.9820834399795
 Catacaos,12053.0,12053.0,1823.0,869.0,1960.0,13921.0,16128.0,29.1248055885067
 Catache,706.0,706.0,20.0,20.0,152.0,1596.0,2418.0,32.3390265684305
 Catahuasi,241.0,241.0,13.0,23.0,78.0,273.0,286.0,34.9783427495292
 Catilluc,315.0,315.0,4.0,32.0,101.0,652.0,805.0,31.6370586093921
 Caujul,95.0,95.0,5.0,12.0,16.0,166.0,130.0,33.8715277777778
 Cayalti,3912.0,3912.0,583.0,143.0,1221.0,3670.0,1307.0,36.7500844081302
 Cayara,205.0,205.0,2.0,3.0,5.0,297.0,523.0,39.5799648506151
 Cayarani,269.0,269.0,2.0,8.0,103.0,460.0,738.0,30.7960772104608
 Caylloma,559.0,559.0,32.0,45.0,247.0,578.0,746.0,29.7305923721937
 Cayma,26868.0,26868.0,11253.0,8313.0,1265.0,26302.0,17946.0,31.886637298091
 Cayna,86.0,86.0,,1.0,2.0,324.0,847.0,31.8996802557954
 Caynarachi,1428.0,1428.0,108.0,60.0,541.0,1731.0,1557.0,26.9104336895035
 Cañaris,529.0,529.0,3.0,10.0,44.0,1239.0,2715.0,25.032729192328
 Ccapi,560.0,560.0,3.0,6.0,25.0,605.0,989.0,34.5017862942514
 Ccarhuayo,428.0,428.0,5.0,12.0,133.0,496.0,802.0,27.1547327977646
 Ccatca,1316.0,1316.0,17.0,49.0,191.0,2044.0,3546.0,26.5732230161715
 Ccochaccasa,410.0,410.0,14.0,47.0,173.0,578.0,718.0,25.8024357239513
 Ccorca,368.0,368.0,5.0,17.0,26.0,394.0,731.0,32.7048085485307
 Celendín,4812.0,4812.0,777.0,388.0,904.0,6272.0,6661.0,30.9852553389044
 Cerro Azul,2103.0,2103.0,783.0,255.0,362.0,1980.0,951.0,30.725144092219
 Cerro Colorado,60965.0,60965.0,18284.0,14854.0,2736.0,59618.0,47908.0,29.745360033139
 Chaca,135.0,135.0,2.0,,4.0,297.0,630.0,27.0693802035153
 Chacabamba,6.0,6.0,,1.0,2.0,66.0,374.0,31.3990990990991
 Chacapalpa,106.0,106.0,2.0,10.0,9.0,185.0,246.0,35.8034934497817
 Chacapampa,69.0,69.0,,,,258.0,401.0,41.4869655891554
 Chacas,529.0,529.0,109.0,38.0,37.0,999.0,1299.0,33.1772956388341
 Chacayan,264.0,264.0,7.0,11.0,15.0,469.0,796.0,37.0817547357926
 Chaccho,99.0,99.0,2.0,4.0,5.0,328.0,419.0,33.2945906432749
 Chachapoyas,7662.0,7662.0,2326.0,890.0,1248.0,7748.0,5084.0,30.9645585933904
 Chachas,331.0,331.0,9.0,20.0,75.0,371.0,479.0,32.8080194410693
 Chaclacayo,10925.0,10925.0,6569.0,2865.0,912.0,10416.0,2638.0,35.1339718493661
 Chacoche,203.0,203.0,6.0,5.0,7.0,246.0,478.0,33.680358476475
 Chadin,220.0,220.0,8.0,11.0,27.0,661.0,1048.0,30.2070165265294
 Chaglla,1360.0,1360.0,38.0,100.0,291.0,2062.0,2687.0,28.1901415421162
 Chala,2474.0,2474.0,398.0,469.0,391.0,2422.0,1185.0,29.0659090909091
 Chalaco,1219.0,1219.0,47.0,15.0,62.0,1448.0,2111.0,34.4352291693414
 Chalamarca,471.0,471.0,9.0,15.0,66.0,1992.0,2957.0,32.4505145609809
 Chalcos,74.0,74.0,5.0,2.0,4.0,127.0,165.0,35.4100418410042
 Chalhuanca,1148.0,1148.0,162.0,131.0,75.0,1291.0,1333.0,31.7303165584416
 Challabamba,949.0,949.0,13.0,29.0,381.0,1307.0,2503.0,28.6807778963595
 Challhuahuacho,1892.0,1892.0,297.0,299.0,324.0,2464.0,2626.0,28.310843373494
 Chamaca,819.0,819.0,12.0,16.0,242.0,1123.0,2010.0,31.8300768737988
 Chambara,401.0,401.0,4.0,12.0,22.0,497.0,797.0,32.4266666666667
 Chancay,7583.0,7583.0,2748.5,817.5,797.0,7209.5,3960.0,31.75713145517095
 Chancaybaños,157.0,157.0,4.0,3.0,37.0,684.0,1009.0,34.0476900149031
 Chanchamayo,6671.0,6671.0,1615.0,749.0,1347.0,7204.0,3665.0,31.9620007196833
 Changuillo,290.0,290.0,9.0,25.0,68.0,476.0,631.0,33.8841025641026
 Chao,6338.0,6338.0,450.0,332.0,1008.0,7271.0,3858.0,25.7749223555204
 Chaparra,924.0,924.0,65.0,131.0,61.0,932.0,442.0,29.7611940298507
 Chapimarca,310.0,310.0,2.0,11.0,4.0,455.0,712.0,37.9482303222398
 Characato,3793.0,3793.0,922.0,885.0,170.0,3723.0,3471.0,30.885319329678
 Charat,187.0,187.0,3.0,8.0,33.0,474.0,830.0,35.5264462809917
 Charcana,83.0,83.0,1.0,1.0,1.0,102.0,187.0,33.9618717504333
 Chaupimarca,6932.0,6932.0,716.0,780.0,253.0,6767.0,4761.0,28.0833105708823
 Chavin,63.0,63.0,3.0,5.0,19.0,104.0,241.0,36.4789956542733
 Chavin de Huantar,629.0,629.0,85.0,62.0,44.0,1424.0,2171.0,30.5230209509472
 Chavinillo,314.0,314.0,7.0,18.0,29.0,935.0,1501.0,31.2246815619127
 Chaviña,396.0,396.0,10.0,11.0,43.0,479.0,639.0,35.0189551548775
 Chavín de Pariarca,228.0,228.0,3.0,9.0,114.0,845.0,1180.0,31.3973108357501
 Chazuta,926.0,926.0,96.0,14.0,164.0,1440.0,1712.0,26.72443929662
 Checacupe,699.0,699.0,13.0,44.0,72.0,781.0,1528.0,31.8432203389831
 Checca,536.0,536.0,,4.0,83.0,999.0,1736.0,31.6042126379137
 Checras,59.0,59.0,1.0,3.0,1.0,263.0,430.0,44.4790096878364
 Chepén,11169.0,11169.0,3171.0,859.0,3076.0,11174.0,6121.0,33.7963396234666
 Chetilla,110.0,110.0,5.0,6.0,13.0,689.0,1010.0,29.1887978142076
 Cheto,139.0,139.0,1.0,5.0,28.0,163.0,192.0,34.2274143302181
 Chiara,392.5,392.5,3.5,50.0,47.5,838.5,1140.0,32.1366638807617
 Chicama,3633.0,3633.0,1012.0,244.0,680.0,3461.0,1412.0,33.3290102836183
 Chicche,154.0,154.0,1.0,7.0,15.0,195.0,290.0,41.1322537112011
 Chichas,123.0,123.0,,1.0,,181.0,223.0,42.6518518518519
 Chicla,670.0,670.0,32.0,64.0,14.0,698.0,257.0,29.2300052273915
 Chiclayo,67738.0,67738.0,31073.0,11968.0,10299.0,65522.0,39392.0,33.7056555364959
 Chiguata,763.0,763.0,98.0,176.0,38.0,813.0,925.0,34.6308268118408
 Chiguirip,113.0,113.0,3.0,8.0,34.0,775.0,1151.0,34.3361713814886
 Chilca,14149.5,14149.5,2696.5,1835.5,1247.5,13679.5,12177.0,29.441001593365797
 Chilcas,229.0,229.0,2.0,9.0,29.0,466.0,606.0,34.7303712720633
 Chilcaymarca,182.0,182.0,18.0,20.0,86.0,246.0,257.0,29.0549102428722
 Chilcayoc,77.0,77.0,4.0,4.0,12.0,163.0,189.0,38.1290322580645
 Chilete,597.0,597.0,78.0,60.0,53.0,640.0,591.0,35.4273244781784
 Chiliquin,126.0,126.0,1.0,,2.0,117.0,199.0,35.4529914529915
 Chillia,499.0,499.0,36.0,18.0,98.0,1581.0,2743.0,25.3488611063538
 Chimban,80.0,80.0,,4.0,5.0,487.0,612.0,29.2637562528422
 Chimbote,50086.0,50086.0,19549.0,6176.0,3958.0,48242.0,33868.0,34.1232124065893
 Chincha Alta,16672.0,16672.0,6343.0,2163.0,2328.0,15395.0,8623.0,31.2493933593573
 Chincha Baja,3348.0,3348.0,846.0,339.0,604.0,3035.0,1947.0,31.1258359597202
 Chinchao,1687.0,1687.0,39.0,99.0,230.0,2912.0,3768.0,30.5022459078797
 Chinchaypujio,513.0,513.0,9.0,11.0,23.0,585.0,1277.0,33.8199205166418
 Chinchero,1604.0,1604.0,202.0,427.0,202.0,2273.0,2770.0,30.2871050873342
 Chincheros,596.0,596.0,104.0,53.0,49.0,1233.0,1535.0,30.7462686567164
 Chinchihuasi,63.0,63.0,1.0,3.0,21.0,387.0,677.0,31.067205659424
 Chincho,86.0,86.0,3.0,4.0,2.0,210.0,353.0,36.1919406150583
 Chingalpo,21.0,21.0,,,1.0,119.0,263.0,31.1867403314917
 Chingas,237.0,237.0,20.0,17.0,23.0,470.0,501.0,33.105888708806
 Chipao,357.0,357.0,5.0,12.0,19.0,646.0,1009.0,38.247454972592
 Chipurana,203.0,203.0,9.0,5.0,51.0,333.0,361.0,25.8008003557137
 Chiquian,708.0,708.0,141.0,54.0,39.0,909.0,1055.0,33.4190902311708
 Chirimoto,277.0,277.0,9.0,10.0,20.0,561.0,709.0,27.2277822257806
 Chirinos,1648.0,1648.0,72.0,65.0,487.0,2822.0,3641.0,28.8079769736842
 Chisquilla,48.0,48.0,1.0,,18.0,81.0,113.0,32.8986928104575
 Chivay,1574.0,1574.0,214.0,145.0,176.0,1553.0,1551.0,30.2221837088388
 Chochope,234.0,234.0,8.0,2.0,63.0,299.0,368.0,28.6105188343994
 Choco,113.0,113.0,3.0,1.0,21.0,196.0,294.0,43.7920227920228
 Chocope,2367.0,2367.0,876.0,301.0,550.0,2249.0,873.0,34.7081858169724
 Chocos,74.0,74.0,1.0,1.0,22.0,152.0,252.0,33.3433208489388
 Chojata,129.0,129.0,,2.0,10.0,218.0,341.0,40.3898305084746
 Cholon,528.0,528.0,17.0,11.0,268.0,956.0,1308.0,26.9752419955324
 Chongos Alto,257.0,257.0,2.0,7.0,7.0,321.0,468.0,39.6374663072776
 Chongos Bajo,927.0,927.0,71.0,105.0,86.0,1117.0,1330.0,34.3156270663434
 Chongoyape,4456.0,4456.0,414.0,168.0,1645.0,4369.0,2853.0,33.6924417338271
 Chontabamba,987.0,987.0,281.0,131.0,740.0,1138.0,664.0,35.904386951631
 Chontali,982.0,982.0,31.0,32.0,300.0,2009.0,2544.0,29.2493374108053
 Choras,88.0,88.0,1.0,,6.0,414.0,646.0,31.8829051383399
 Choropampa,105.0,105.0,3.0,3.0,3.0,461.0,632.0,30.7512842465753
 Choros,223.0,223.0,4.0,8.0,22.0,531.0,861.0,32.3568450312717
 Chorrillos,80378.0,80378.0,52027.0,21422.0,4307.0,77405.0,36624.0,33.2879605143823
 Chota,9017.0,9017.0,769.0,482.0,1541.0,11783.0,12570.0,32.1065166352926
 Chucuito,1539.0,1539.0,25.0,60.0,37.0,1827.0,2843.0,40.8729163698533
 Chugay,1912.0,1912.0,21.0,31.0,92.0,2856.0,4759.0,26.7305742739579
 Chugur,148.0,148.0,8.0,13.0,8.0,733.0,838.0,34.386301369863
 Chulucanas,14774.0,14774.0,1663.0,576.0,4670.0,16670.0,16087.0,31.172089528726
 Chumpi,496.0,496.0,9.0,21.0,50.0,615.0,726.0,35.8096980786825
 Chumuch,117.0,117.0,1.0,4.0,7.0,406.0,757.0,29.4138461538462
 Chungui,104.0,104.0,1.0,4.0,9.0,401.0,1154.0,27.5085348506401
 Chupa,1193.0,1193.0,2.0,15.0,135.0,1434.0,2620.0,38.0537451737452
 Chupaca,4952.0,4952.0,553.0,580.0,415.0,4873.0,4993.0,31.1006341871098
 Chupamarca,92.0,92.0,,2.0,10.0,197.0,328.0,31.4921171171171
 Chupuro,310.0,310.0,11.0,30.0,23.0,375.0,561.0,34.1197327852004
 Chuquibamba,465.5,465.5,64.0,58.0,30.5,630.0,740.0,33.03679705912975
 Chuquibambilla,659.0,659.0,52.0,27.0,36.0,706.0,1531.0,33.0
 Chuquis,155.0,155.0,3.0,3.0,23.0,206.0,1021.0,31.3873365041617
 Churcampa,912.0,912.0,35.0,75.0,53.0,1238.0,1451.0,32.2470518867925
 Churubamba,965.0,965.0,14.0,55.0,136.0,2494.0,4755.0,29.1725590299936
 Churuja,64.0,64.0,21.0,12.0,20.0,77.0,67.0,35.0871080139373
 Chuschi,1034.0,1034.0,15.0,21.0,40.0,2063.0,2759.0,31.7354885230141
 Cieneguilla,9112.0,9112.0,3290.0,2167.0,919.0,9044.0,3788.0,29.444498904394
 Circa,279.0,279.0,10.0,8.0,11.0,386.0,789.0,41.4163987138264
 Ciudad Nueva,9083.0,9083.0,1144.0,1511.0,422.0,8863.0,8558.0,29.4580116738844
 Coalaque,113.0,113.0,7.0,21.0,16.0,230.0,377.0,42.7383966244726
 Coasa,1427.0,1427.0,13.0,27.0,187.0,1142.0,2626.0,28.7814394528214
 Coata,795.0,795.0,1.0,16.0,404.0,1423.0,2518.0,31.0969945355191
 Coayllo,291.0,291.0,33.0,28.0,73.0,279.0,238.0,39.2042186001918
 Cocabamba,150.0,150.0,1.0,2.0,3.0,429.0,548.0,28.3593833067517
 Cocachacra,2329.0,2329.0,493.0,352.0,308.0,2416.0,1444.0,35.818857074398
 Cocas,54.0,54.0,,4.0,1.0,148.0,250.0,32.2916073968706
 Cochabamba,252.0,252.0,9.333333333333334,9.0,26.666666666666668,580.3333333333334,899.3333333333334,32.8131919874344
 Cochamal,84.0,84.0,5.0,6.0,17.0,127.0,180.0,33.963025210084
 Cochamarca,23.0,23.0,1.0,2.0,7.0,84.0,331.0,33.8646408839779
 Cochapeti,20.0,20.0,,1.0,2.0,175.0,291.0,35.9527027027027
 Cocharcas,142.0,142.0,1.0,1.0,4.0,250.0,581.0,33.5040509259259
 Cochas,67.0,67.0,9.0,5.333333333333333,17.0,110.66666666666667,364.3333333333333,35.486103844549966
 Cochorco,739.0,739.0,15.0,31.0,71.0,1518.0,2200.0,25.3928316265778
 Codo del Pozuzo,890.0,890.0,101.0,70.0,662.0,1588.0,1491.0,25.7276439938037
 Coishco,4159.0,4159.0,1333.0,337.0,270.0,3737.0,1550.0,31.7169409850429
 Cojata,1029.0,1029.0,16.0,55.0,454.0,955.0,1442.0,31.269659936238
 Colan,2198.0,2198.0,275.0,151.0,405.0,2946.0,2557.0,30.8268209025489
 Colasay,1699.0,1699.0,53.0,61.0,454.0,2364.0,2820.0,31.175717913655
 Colca,117.5,117.5,2.0,4.0,2.0,169.0,382.0,39.3815171753776
 Colcabamba,451.3333333333333,451.3333333333333,13.666666666666666,44.0,51.333333333333336,835.0,1206.0,35.2340006622107
 Colcamar,548.0,548.0,4.0,5.0,18.0,515.0,627.0,35.6098219104155
 Colcha,195.0,195.0,1.0,3.0,3.0,116.0,397.0,41.981308411215
 Colonia,193.0,193.0,5.0,7.0,39.0,276.0,398.0,39.2957619477006
 Colpas,162.0,162.0,1.0,6.0,6.0,404.0,555.0,32.5655690352397
 Colquemarca,600.0,600.0,16.0,24.0,114.0,1199.0,2336.0,33.7958532695375
 Colquepata,1097.0,1097.0,16.0,37.0,276.0,1440.0,2318.0,28.5421052631579
 Colquioc,327.0,327.0,33.0,38.0,38.0,415.0,407.0,34.1915261565067
 Colta,69.0,69.0,3.0,2.0,8.0,135.0,162.0,33.9957264957265
 Comandante Noel,456.0,456.0,36.0,39.0,125.0,501.0,386.0,30.9741379310345
 Comas,64817.5,64817.5,36564.5,10210.0,2789.5,60499.5,27565.5,32.1934117583221
 Combapata,753.0,753.0,41.0,38.0,148.0,1002.0,1403.0,31.3337693481578
 Conayca,182.0,182.0,2.0,7.0,8.0,260.0,364.0,42.497062279671
 Concepción,1842.5,1842.5,354.0,285.0,175.0,2139.5,1827.5,33.73813884003735
 Conchamarca,622.0,622.0,28.0,56.0,65.0,1105.0,1101.0,32.1490655257825
 Conchan,792.0,792.0,7.0,14.0,84.0,1332.0,1690.0,32.066631224526
 Conchucos,271.0,271.0,39.0,5.0,20.0,1320.0,1924.0,28.3722094439183
 Condebamba,1399.0,1399.0,23.0,50.0,156.0,2475.0,3738.0,29.9085484111592
 Condormarca,58.0,58.0,2.0,,,325.0,501.0,28.9258098223615
 Condoroma,279.0,279.0,2.0,19.0,150.0,279.0,339.0,34.2172413793103
 Conduriri,491.0,491.0,3.0,11.0,130.0,556.0,1216.0,35.2578094108343
 Congalla,299.0,299.0,4.0,12.0,14.0,841.0,1312.0,32.8989841986456
 Congas,161.0,161.0,,2.0,13.0,291.0,430.0,34.4257588187039
 Conila,329.0,329.0,2.0,16.0,79.0,369.0,474.0,32.4119565217391
 Conima,415.0,415.0,1.0,8.0,15.0,650.0,1460.0,41.7324658838464
 Constitución,1653.0,1653.0,99.0,111.0,613.0,2395.0,2905.0,25.5555963033592
 Contamana,2712.0,2712.0,537.0,58.0,1005.0,3283.0,3911.0,25.2295356529749
 Contumazá,798.0,798.0,143.0,60.0,84.0,1636.0,2115.0,33.0099182415226
 Copa,18.0,18.0,1.0,1.0,2.0,70.0,275.0,36.027972027972
 Copallin,687.0,687.0,16.0,20.0,179.0,1037.0,1379.0,33.9116430903156
 Copani,945.0,945.0,4.0,51.0,151.0,1195.0,1967.0,36.0124597207304
 Coporaque,655.0,655.0,7.5,21.0,395.0,956.5,1997.0,34.49192940767775
 Coracora,2619.0,2619.0,336.0,152.0,363.0,2877.0,3380.0,31.6862999085645
 Corani,409.0,409.0,2.0,12.0,73.0,546.0,1358.0,26.1849056603774
 Corculla,39.0,39.0,,1.0,4.0,141.0,167.0,38.3011235955056
 Cordova,119.0,119.0,,13.0,8.0,182.0,417.0,42.7124378109453
 Coris,106.0,106.0,2.0,11.0,37.0,340.0,480.0,33.450884685784
 Coronel Castañeda,107.0,107.0,2.0,8.0,6.0,143.0,241.0,30.4082462253194
 Coronel Gregorio Albarracin Lanchipa,34197.0,34197.0,6893.0,6131.0,2587.0,34511.0,31297.0,28.6731390999574
 Corongo,220.0,220.0,46.0,15.0,38.0,316.0,422.0,39.1019677996422
 Corosha,141.0,141.0,4.0,3.0,21.0,172.0,221.0,27.4559585492228
 Corrales,6077.0,6077.0,1172.0,411.0,1717.0,5534.0,4747.0,29.9127565668252
 Cortegana,292.0,292.0,3.0,2.0,5.0,684.0,1922.0,27.6021345982805
 Cosme,168.0,168.0,2.0,16.0,40.0,436.0,766.0,27.2411723163842
 Cospan,648.0,648.0,16.0,13.0,31.0,1047.0,1872.0,30.2894970414201
 Cotabambas,567.0,567.0,9.0,13.0,49.0,758.0,1216.0,34.0810602161606
 Cotahuasi,677.0,677.0,79.0,55.0,71.0,832.0,907.0,33.4547008547009
 Cotaparaco,41.0,41.0,3.0,1.0,3.0,98.0,107.0,34.0684596577017
 Cotaruse,335.0,335.0,2.0,5.0,7.0,396.0,810.0,33.6824902723735
 Coviriali,310.0,310.0,30.0,13.0,153.0,848.0,1373.0,28.8554863274489
