District,Gas Stove -Yes,Refrigerator/Freezer,Clothes washer,Car/van/autombile,Motorcycle,Cellular Phone,No Cable/satellite Tv,Average Age
 Usicayos,390.0,390.0,1.0,5.0,47.0,789.0,2610.0,31.2252001779359
 Usquil,779.0,779.0,25.0,62.0,474.0,4398.0,6326.0,29.9337946512063
 Utco,66.0,66.0,1.0,9.0,11.0,197.0,319.0,33.3450570342205
 Uticyacu,79.0,79.0,5.0,2.0,6.0,277.0,361.0,36.6862589356632
 Uñon,30.0,30.0,,2.0,2.0,66.0,73.0,42.9227053140097
 Valera,229.0,229.0,22.0,15.0,47.0,238.0,265.0,36.8627002288329
 Vargas Guerra,502.0,502.0,39.0,10.0,101.0,766.0,1211.0,26.2382866862533
 Vegueta,6708.0,6708.0,1178.0,648.0,944.0,6546.0,3794.0,29.3430842852732
 Veintiseis de Octubre,40341.0,40341.0,10707.0,4186.0,11599.0,38708.0,32877.0,29.5764964199326
 Veintisiete de Noviembre,56.0,56.0,1.0,4.0,2.0,115.0,175.0,48.7201946472019
 Velille,1236.0,1236.0,40.0,53.0,313.0,1602.0,2236.0,33.2321542587154
 Ventanilla,82167.0,82167.0,38125.0,8943.0,4622.0,78354.0,50764.0,28.458371356147
 Vicco,750.0,750.0,29.0,120.0,105.0,811.0,654.0,33.3387382075472
 Vice,2510.0,2510.0,200.0,204.0,433.0,2967.0,2333.0,25.1549584133077
 Vichayal,897.0,897.0,50.0,37.0,133.0,1221.0,1034.0,31.0627890430452
 Victor Larco Herrera,17772.0,17772.0,11841.0,6062.0,1699.0,17451.0,8071.0,33.5782851137127
 Vilavila,311.0,311.0,2.0,2.0,35.0,340.0,557.0,29.6699107866991
 Vilca,117.0,117.0,2.0,1.0,6.0,237.0,691.0,34.8894764674775
 Vilcabamba,697.0,697.0,12.333333333333334,23.666666666666668,57.333333333333336,764.0,1371.6666666666667,33.402041676632564
 Vilcanchos,537.0,537.0,13.0,4.0,2.0,592.0,839.0,34.024696525743
 Vilcas Huamán,982.0,982.0,17.0,42.0,71.0,1347.0,2154.0,33.5238618524333
 Villa Kintiarina,177.0,177.0,6.0,8.0,44.0,384.0,465.0,24.0177304964539
 Villa María del Triunfo,100408.0,100408.0,49992.0,14187.0,4459.0,94174.0,57501.0,31.5329126854452
 Villa Rica,3727.0,3727.0,665.0,517.0,989.0,4225.0,2490.0,30.9737177260623
 Villa Virgen,258.0,258.0,4.0,10.0,91.0,397.0,436.0,26.9378787878788
 Villa el Salvador,92935.0,92935.0,52275.0,15162.0,5411.0,86638.0,56249.0,31.3228600344815
 Vilque,137.0,137.0,3.0,12.0,34.0,693.0,1126.0,31.6023180007244
 Vilque Chico,2404.0,2404.0,7.0,44.0,150.0,2000.0,3751.0,44.6244626265428
 Vinchos,1048.0,1048.0,4.0,46.0,77.0,2339.0,4101.0,29.6529265072613
 Viques,552.0,552.0,18.0,63.0,58.0,617.0,714.0,29.9992421371732
 Viraco,397.0,397.0,34.0,30.0,22.0,435.0,473.0,40.8957928802589
 Virundo,136.0,136.0,,1.0,7.0,157.0,239.0,34.6311111111111
 Virú,9932.0,9932.0,1484.0,802.0,1728.0,10977.0,5887.0,27.8021638330757
 Vischongo,486.0,486.0,7.0,15.0,27.0,726.0,1222.0,33.2431561996779
 Vista Alegre,2925.0,2925.0,586.5,493.5,384.5,2967.5,2894.5,27.2007886532929
 Vitis,14.0,14.0,,1.0,4.0,83.0,50.0,41.871382636656
 Vitoc,313.0,313.0,26.0,35.0,122.0,451.0,361.0,34.7673649393605
 Vitor,1131.0,1131.0,63.0,202.0,113.0,1363.0,1444.0,34.4803324099723
 Vizcatan del Ene,586.0,586.0,7.0,31.0,64.0,852.0,1313.0,25.0966603951082
 Viñac,167.0,167.0,3.0,6.0,37.0,220.0,446.0,33.6508620689655
 Wanchaq,17033.0,17033.0,12229.0,5224.0,935.0,17158.0,7345.0,34.8672895919099
 Yacus,284.0,284.0,1.0,1.0,3.0,1359.0,1806.0,31.0995090634441
 Yaguas,22.0,22.0,,,,10.0,244.0,23.8167580266249
 Yamango,748.0,748.0,13.0,19.0,60.0,1121.0,2351.0,32.8509587107399
 Yambrasbamba,758.0,758.0,29.0,32.0,140.0,1167.0,1572.0,28.4228079612695
 Yamon,278.0,278.0,4.0,15.0,70.0,621.0,839.0,29.7526477622139
 Yanac,73.0,73.0,1.0,4.0,2.0,172.0,216.0,34.2902208201893
 Yanaca,249.0,249.0,,2.0,4.0,244.0,366.0,40.6320081549439
 Yanacancha,3538.0,3538.0,585.5,511.0,176.0,3652.5,2052.5,29.611944080772
 Yanahuanca,2026.0,2026.0,62.0,136.0,128.0,2637.0,2865.0,32.3749227918468
 Yanahuara,7615.0,7615.0,6566.0,4158.0,433.0,7723.0,1796.0,38.6267065349963
 Yanahuaya,260.0,260.0,,3.0,60.0,566.0,871.0,31.4323347107438
 Yanama,469.0,469.0,32.0,18.0,32.0,1030.0,1567.0,31.7265684051398
 Yanaoca,1031.0,1031.0,23.0,37.0,120.0,1511.0,2735.0,32.0316433768334
 Yanaquihua,1018.0,1018.0,22.0,47.0,83.0,1041.0,1066.0,33.3322301425662
 Yanas,75.0,75.0,1.0,5.0,13.0,430.0,692.0,33.9812332439678
 Yanatile,1091.0,1091.0,60.0,92.0,343.0,1725.0,2879.0,32.9038416763679
 Yanque,503.0,503.0,41.0,27.0,158.0,576.0,707.0,35.946150212565
 Yantalo,547.0,547.0,36.0,26.0,288.0,677.0,514.0,29.6202443280977
 Yaquerana,52.0,52.0,,,2.0,91.0,403.0,21.9989631933644
 Yarabamba,447.0,447.0,40.0,114.0,19.0,494.0,520.0,36.3576864535769
 Yarinacocha,21878.0,21878.0,7693.0,1636.0,11397.0,21707.0,16273.0,27.6215352940611
 Yarumayo,163.0,163.0,1.0,10.0,9.0,216.0,525.0,31.4200647249191
 Yauca,546.0,546.0,140.0,101.0,160.0,561.0,213.0,35.5322322855621
 Yauca del Rosario,260.0,260.0,5.0,20.0,20.0,296.0,558.0,47.8109318996416
 Yauli,612.3333333333334,612.3333333333334,49.333333333333336,84.66666666666667,28.0,1332.3333333333333,1729.3333333333333,30.9258860190465
 Yaurisque,257.0,257.0,9.0,24.0,10.0,397.0,624.0,33.2136174636175
